SN,Station,StreamType,Customer,Desc_,Status,Lat,Long,LAT,LNG
173196.0,no,Trash,Philadelphia City of,Nw 5th/Fisher,In Service,40.0319657194,-75.1315858307,40.03196571900003,-75.13158583099994
173197.0,yes,Trash,Philadelphia City of,Sw Dickinson/Passyunk,In Service,39.930845249,-75.1623429153,39.93084524900007,-75.16234291499995
173200.0,yes,Trash,Philadelphia City of,"22nd & Cambria, NW",In Service,39.9987059557,-75.1669182227,39.99870595600004,-75.16691822299998
173201.0,yes,Trash,Philadelphia City of,Sw 58th/Woodland,In Service,39.9322,-75.2247,39.93220000000008,-75.22469999999998
173202.0,yes,Trash,Philadelphia City of,Nw Harbison/Frankford ave,In Service,40.0276328618,-75.0618854233,40.027632862000075,-75.06188542299998
173203.0,no,Trash,Philadelphia City of,Nw Levick/Frankford ave,In Service,40.0286164306,-75.0577321865,40.028616431000046,-75.05773218699994
173204.0,yes,Trash,Philadelphia City of,Ne Washington Lane/ Germantown Ave,In Service,40.0433435508,-75.180916795,40.04334355100008,-75.18091679499997
173205.0,yes,Trash,Philadelphia City of,Ne Mifflin/Passyunk,In Service,39.9266094965,-75.1672195337,39.92660949700007,-75.16721953399997
173206.0,yes,Trash,Philadelphia City of,6610 Frankford Ave,In Service,40.0308289306,-75.0544208067,40.03082893100003,-75.05442080699999
173207.0,yes,Trash,Philadelphia City of,6523 Germantown Ave,In Service,40.049,-75.1838,40.049000000000035,-75.18379999999996
173208.0,yes,Trash,Philadelphia City of,Ne Juniper/Passyunk,In Service,39.9258835446,-75.1680800589,39.92588354500003,-75.16808005899998
173209.0,yes,Trash,Philadelphia City of,Se 48th/Spruce,In Service,39.9533,-75.2174,39.95330000000007,-75.21739999999994
173210.0,yes,Trash,Philadelphia City of,Sw Levering/Cresson,In Service,40.0263985871,-75.2237137169,40.026398587000074,-75.22371371699995
173211.0,yes,Trash,Philadelphia City of,United Savings Bank/ Passyunk south side,In Service,39.9257,-75.1687,39.92570000000006,-75.16869999999994
173212.0,yes,Trash,Philadelphia City of,4324 Main Street,In Service,40.0251,-75.2226,40.025100000000066,-75.22259999999994
173213.0,yes,Trash,Philadelphia City of,Se Broad/ Passyunk,In Service,39.9254753168,-75.1692927116,39.925475317000064,-75.16929271199996
173214.0,yes,Trash,Philadelphia City of,Se Cross/Passyunk,In Service,39.9302,-75.1629,39.93020000000007,-75.16289999999998
173215.0,no,Trash,Philadelphia City of,Nw 5th/Blvd,In Service,40.0244164317,-75.1332502037,40.024416432000066,-75.13325020399998
173216.0,no,Trash,Philadelphia City of,Ne Calumet/Ridge,In Service,40.0096,-75.1959,40.009600000000034,-75.19589999999994
173217.0,no,Trash,Philadelphia City of,Se Cliveden/Germantown,In Service,40.047,-75.1828,40.047000000000025,-75.18279999999999
173218.0,no,Trash,Philadelphia City of,Ne 61st/Woodland,In Service,39.9293151818,-75.2292160933,39.92931518200004,-75.22921609299993
173219.0,no,Trash,Philadelphia City of,Ne Green Lane/Main,In Service,40.0268,-75.2271,40.02680000000004,-75.22709999999995
173220.0,no,Trash,Philadelphia City of,Nw 5th/Somerville,In Service,40.0334862548,-75.1312536442,40.03348625500007,-75.13125364399997
173221.0,no,Trash,Philadelphia City of,Sw 63rd/Woodland,In Service,39.9272,-75.2318,39.92720000000003,-75.23179999999996
173222.0,no,Trash,Philadelphia City of,4449 Main,In Service,40.0266,-75.2263,40.02660000000003,-75.22629999999998
173223.0,no,Trash,Philadelphia City of,Se Frankford/York,In Service,39.9817,-75.1278,39.981700000000046,-75.12779999999998
173224.0,no,Trash,Philadelphia City of,Sw Pleasant/Germantown,In Service,40.054,-75.1865,40.05400000000003,-75.18649999999997
173225.0,no,Trash,Philadelphia City of,Sw 5th/Olney,In Service,40.0363246432,-75.1306448393,40.03632464300006,-75.13064483899996
173226.0,no,Trash,Philadelphia City of,Nw 5th/Lindley,In Service,40.0288,-75.1322,40.02880000000005,-75.13219999999995
173227.0,no,Trash,Philadelphia City of,Nw 64th/Woodland,In Service,39.9255851238,-75.2345253056,39.925585124000065,-75.23452530599997
173228.0,no,Trash,Philadelphia City of,4260 Ridge,In Service,40.0096,-75.1958,40.009600000000034,-75.19579999999996
173229.0,no,Trash,Philadelphia City of,"8th & South, W",In Service,39.9423927589,-75.1555101166,39.94239275900003,-75.15551011699995
173230.0,no,Trash,Philadelphia City of,Se 5th/Tabor,In Service,40.0345780388,-75.1308321865,40.03457803900005,-75.13083218699995
173231.0,no,Trash,Philadelphia City of,Nw 22nd/Indiana,In Service,40.0005,-75.1665,40.000500000000045,-75.16649999999998
173232.0,yes,Trash,Philadelphia City of,Se 22nd/Indiana,In Service,40.0000959068,-75.1664409914,40.00009590700006,-75.16644099099994
173233.0,no,Trash,Philadelphia City of,Se 5th/Rockland,In Service,40.0257,-75.1327,40.02570000000003,-75.13269999999994
173234.0,no,Trash,Philadelphia City of,Ne 58th/Woodland,In Service,39.9325382984,-75.2244980761,39.932538298000054,-75.22449807599997
173236.0,yes,Trash,Philadelphia City of,Sw 38th/Lancaster,In Service,39.9603,-75.197,39.960300000000075,-75.19699999999995
173237.0,yes,Trash,Philadelphia City of,Nw Washington Ln/Germantown,In Service,40.0433,-75.1809,40.043300000000045,-75.18089999999995
173238.0,yes,Trash,Philadelphia City of,Ne Broad/Snyder on Snyder,In Service,39.9244,-75.1694,39.92440000000005,-75.16939999999994
173239.0,yes,Trash,Philadelphia City of,"58th & Woodland, SE",In Service,39.9324111575,-75.2245860362,39.93241115700005,-75.22458603599995
173241.0,no,Trash,Philadelphia City of,Sw 22nd/Allegheny,In Service,40.0032191666,-75.1659799908,40.003219167000054,-75.16597999099997
173242.0,yes,Trash,Philadelphia City of,Nw Grape/Main,In Service,40.0254,-75.2234,40.02540000000005,-75.22339999999997
173243.0,yes,Trash,Philadelphia City of,Se Rector/Main,In Service,40.0243,-75.2209,40.02430000000004,-75.22089999999997
173244.0,yes,Trash,Philadelphia City of,Sw Cresson/Cotton,In Service,40.0257,-75.2224,40.02570000000003,-75.22239999999994
173245.0,yes,Trash,Philadelphia City of,Sw 65th/Woodland,In Service,39.9254,-75.2343,39.925400000000025,-75.23429999999996
173246.0,yes,Trash,Philadelphia City of,Sw 60th/Woodland,In Service,39.9302,-75.2276,39.93020000000007,-75.22759999999994
173247.0,yes,Trash,Philadelphia City of,Nw Lock/Main,In Service,40.0234,-75.2199,40.02340000000004,-75.21989999999994
173248.0,yes,Trash,Philadelphia City of,Se Shurs/Cresson,In Service,40.0227,-75.2178,40.02270000000004,-75.21779999999995
173249.0,yes,Trash,Philadelphia City of,Ne Moore/Passyunk,In Service,39.9277,-75.1659,39.92770000000007,-75.16589999999997
173250.0,yes,Trash,Philadelphia City of,Ne 9th/Passyunk,In Service,39.9333,-75.159,39.93330000000003,-75.15899999999993
173251.0,yes,Trash,Philadelphia City of,Ne Levering/Main,In Service,40.0258,-75.2245,40.02580000000006,-75.22449999999998
173252.0,yes,Trash,Philadelphia City of,Se 62nd/Woodland,In Service,39.9281335134,-75.2304174967,39.928133513000034,-75.23041749699996
173253.0,yes,Trash,Philadelphia City of,Ne East River road/ Midvale,In Service,40.0084712379,-75.1942092123,40.00847123800003,-75.19420921199998
173254.0,no,Trash,Philadelphia City of,7147 Germantown Ave,In Service,40.059208091,-75.1902092699,40.05920809100007,-75.19020926999997
173255.0,no,Trash,Philadelphia City of,Ne Broad/Snyder,In Service,39.9244,-75.1695,39.92440000000005,-75.16949999999997
173258.0,no,Trash,Philadelphia City of,Sw Broad/Passyunk,In Service,39.9255003126,-75.1695965595,39.92550031300004,-75.16959655999995
173259.0,no,Trash,Philadelphia City of,Nw Upsal/Germantown,In Service,40.0482,-75.1834,40.048200000000065,-75.18339999999995
173261.0,no,Trash,Philadelphia City of,Sw Durham/Germantown,In Service,40.0591,-75.1901,40.05910000000006,-75.19009999999997
173262.0,no,Trash,Philadelphia City of,Sw Broad/Snyder,In Service,39.9242,-75.1698,39.92420000000004,-75.16979999999995
173263.0,no,Trash,Philadelphia City of,Sw Frankford/Master,In Service,39.9714,-75.1344,39.971400000000074,-75.13439999999997
